ISBN13,Book_Title,Author_Name,Publisher_House,Publication_Date,Page_Count,Language,Country,Average_Rating,Review_Volume,Is_Bestseller,Record_Status
9787077131430,The Silent Patient,Alex Michaelides,Hachette Book Group,2014-02-17,940.0,en,Germany,3.9,4808,False,Refined
9787375197714,Educated,Tara Westover,Simon & Schuster,2001-05-11,881.0,zh,China,2.82,2636,False,Refined
9787750819485,The Great Gatsby,F. Scott Fitzgerald,HarperCollins,2007-09-09,144.0,fr,India,3.82,3123,False,Refined
9781158998032,Educated,Tara Westover,Hachette Book Group,1999-08-23,543.5,en,India,1.4,3743,False,Refined
9785616352188,Educated,Tara Westover,Simon & Schuster,2010-12-06,738.0,de,UK,4.41,4371,False,Refined
9789744120054,The Alchemist,Paulo Coelho,Penguin Books,2015-08-02,746.0,fr,Australia,3.99,3555,False,Refined
9782905584866,Where the Crawdads Sing,Delia Owens,Simon & Schuster,2024-10-25,147.0,fr,USA,2.17,3070,False,Refined
9784403845222,The Hobbit,J.R.R. Tolkien,HarperCollins,2018-04-06,180.0,zh,China,3.48,1972,False,Refined
9786385791669,The Great Gatsby,F. Scott Fitzgerald,Simon & Schuster,1996-03-15,109.0,de,Germany,3.71,1294,False,Refined
9789426850694,Dune,Frank Herbert,Simon & Schuster,2005-08-16,965.0,fr,Australia,5.0,3958,True,Refined
9787763765757,The Catcher in the Rye,J.D. Salinger,Simon & Schuster,2025-02-17,949.0,de,Germany,1.03,401,False,Refined
9788739238825,Brave New World,Aldous Huxley,HarperCollins,1997-07-23,294.0,zh,Germany,3.71,1120,False,Refined
9782893321208,Project Hail Mary,Andy Weir,Hachette Book Group,2009-10-01,849.0,es,UK,4.64,2676,False,Refined
9786001680218,Educated,Tara Westover,Macmillan Publishers,2012-11-16,864.0,fr,UK,2.87,616,False,Refined
9782570991899,Pride and Prejudice,Jane Austen,Macmillan Publishers,2025-06-28,370.0,zh,UK,2.82,2147,False,Refined
9786299224734,The Catcher in the Rye,J.D. Salinger,Penguin Books,1998-04-29,674.0,fr,Brazil,1.89,517,False,Refined
9788083429496,Brave New World,Aldous Huxley,Penguin Books,2019-11-05,146.0,en,Germany,4.98,951,False,Refined
9786964188417,Educated,Tara Westover,Simon & Schuster,2001-11-19,529.0,zh,Canada,4.54,811,False,Refined
9789730449971,1984,George Orwell,Simon & Schuster,2016-05-15,554.0,de,Australia,4.42,813,False,Refined
9785555027957,The Catcher in the Rye,J.D. Salinger,Simon & Schuster,2017-08-08,225.0,de,UK,3.65,4891,False,Refined
9783424843951,To Kill a Mockingbird,Harper Lee,Penguin Books,2001-04-03,312.0,zh,Australia,4.25,1908,False,Refined
9785307145891,Foundation,Isaac Asimov,HarperCollins,2020-04-14,653.0,fr,Canada,1.44,211,False,Refined
9787824071339,The Great Gatsby,F. Scott Fitzgerald,Penguin Books,2018-04-20,371.0,en,Canada,3.97,4309,False,Refined
9788636525027,Fahrenheit 451,Ray Bradbury,Hachette Book Group,1999-06-27,211.0,de,Pakistan,1.89,355,False,Refined
9786590459705,Man's Search for Meaning,Viktor Frankl,Penguin Books,2023-05-22,590.0,de,China,3.74,4016,False,Refined
9781637088959,The Silent Patient,Alex Michaelides,HarperCollins,2013-10-12,739.0,zh,Pakistan,3.85,3120,False,Refined
9782847692041,Fahrenheit 451,Ray Bradbury,Penguin Books,1996-09-30,766.0,zh,Australia,2.72,1871,False,Refined
9785703357871,Pride and Prejudice,Jane Austen,Macmillan Publishers,2012-02-05,781.0,fr,France,4.81,3885,True,Refined
9782854895521,The Silent Patient,Alex Michaelides,Simon & Schuster,2020-04-12,669.0,en,Brazil,4.83,4601,True,Refined
9786636925105,The Catcher in the Rye,J.D. Salinger,Penguin Books,2000-03-11,619.0,es,Canada,3.63,1837,False,Refined
9782578662692,Sapiens,Yuval Noah Harari,Simon & Schuster,2000-05-12,543.5,de,Pakistan,4.9,4560,True,Refined
9781124352982,1984,George Orwell,Simon & Schuster,2012-04-03,447.0,fr,USA,1.73,1173,False,Refined
9785173893550,Educated,Tara Westover,Penguin Books,2002-04-27,320.0,de,China,2.81,1289,False,Refined
9783560761628,Dune,Frank Herbert,Penguin Books,2019-02-19,261.0,zh,USA,3.7,2229,False,Refined
9787193532615,Foundation,Isaac Asimov,Simon & Schuster,2016-06-12,873.0,zh,UK,2.38,908,False,Refined
9782324651201,The Alchemist,Paulo Coelho,HarperCollins,2008-05-21,713.0,en,USA,1.82,1730,False,Refined
9782409274786,Brave New World,Aldous Huxley,Penguin Books,2003-10-21,864.0,de,Canada,1.52,4362,False,Refined
9785604529187,The Catcher in the Rye,J.D. Salinger,Penguin Books,2006-07-19,119.0,de,UK,4.45,4716,False,Refined
9782243458354,The Hobbit,J.R.R. Tolkien,Macmillan Publishers,2025-03-07,432.0,es,Brazil,2.84,2964,False,Refined
9785632753983,The Great Gatsby,F. Scott Fitzgerald,Simon & Schuster,2010-11-20,326.0,fr,Canada,1.31,934,False,Refined
9781634323009,The Catcher in the Rye,J.D. Salinger,Penguin Books,2019-07-19,362.0,es,Canada,3.41,617,False,Refined
9787783763790,The Alchemist,Paulo Coelho,Hachette Book Group,1997-04-10,750.0,zh,France,4.46,2589,False,Refined
9788006745733,Fahrenheit 451,Ray Bradbury,Simon & Schuster,1999-08-03,157.0,fr,Pakistan,1.3,3782,False,Refined
9789919491730,Brave New World,Aldous Huxley,Penguin Books,1998-07-12,708.0,zh,China,2.85,4540,False,Refined
9783799620568,Project Hail Mary,Andy Weir,Simon & Schuster,1998-12-23,587.0,zh,Canada,4.83,3690,True,Refined
9789952125442,To Kill a Mockingbird,Harper Lee,HarperCollins,2024-05-11,353.0,de,India,3.1,4995,False,Refined
9786958908766,Brave New World,Aldous Huxley,Simon & Schuster,1999-04-19,153.0,fr,UK,2.32,4570,False,Refined
9784750707607,Foundation,Isaac Asimov,Simon & Schuster,2022-06-17,696.0,es,France,2.24,3210,False,Refined
9788695129534,The Silent Patient,Alex Michaelides,HarperCollins,2002-07-03,195.0,de,Pakistan,2.45,2970,False,Refined
9783088517710,To Kill a Mockingbird,Harper Lee,HarperCollins,2019-12-12,258.0,en,Germany,4.38,828,False,Refined
9789752058817,Man's Search for Meaning,Viktor Frankl,Simon & Schuster,1998-05-24,234.0,zh,China,1.62,1481,False,Refined
9788392424691,Becoming,Michelle Obama,Penguin Books,2007-09-08,473.0,es,India,3.44,3677,False,Refined
9786128260438,The Alchemist,Paulo Coelho,Hachette Book Group,2006-05-09,572.0,fr,China,3.01,3429,False,Refined
9782073755632,Foundation,Isaac Asimov,Macmillan Publishers,2009-06-19,667.0,en,Pakistan,4.4,2335,False,Refined
9782878930355,Fahrenheit 451,Ray Bradbury,HarperCollins,2005-11-17,457.0,en,China,1.21,4112,False,Refined
9782610237679,The Silent Patient,Alex Michaelides,Penguin Books,2011-10-27,201.0,fr,Canada,1.55,2350,False,Refined
9787309779967,Educated,Tara Westover,Hachette Book Group,2025-11-17,181.0,en,Germany,1.86,1224,False,Refined
9782817865363,Man's Search for Meaning,Viktor Frankl,Simon & Schuster,2015-06-16,408.0,en,USA,1.95,3744,False,Refined
9789660523876,The Alchemist,Paulo Coelho,Hachette Book Group,2000-04-27,347.0,es,Germany,2.72,2890,False,Refined
9782548781344,The Silent Patient,Alex Michaelides,Hachette Book Group,2001-09-16,543.5,zh,Pakistan,1.08,3851,False,Refined
9785364727160,The Catcher in the Rye,J.D. Salinger,Penguin Books,2010-08-25,346.0,en,Brazil,3.94,2723,False,Refined
9788281641403,To Kill a Mockingbird,Harper Lee,HarperCollins,2020-01-25,164.0,de,USA,2.17,358,False,Refined
9789303765140,To Kill a Mockingbird,Harper Lee,Hachette Book Group,2008-04-02,934.0,zh,India,2.01,1565,False,Refined
9786720572969,Project Hail Mary,Andy Weir,Penguin Books,2009-08-10,547.0,de,India,4.58,3167,True,Refined
9789944748312,The Alchemist,Paulo Coelho,Macmillan Publishers,2022-07-29,540.0,zh,Canada,3.18,2631,False,Refined
9786611356986,Brave New World,Aldous Huxley,Hachette Book Group,2007-01-01,270.0,de,France,2.79,2888,False,Refined
9789912233947,Project Hail Mary,Andy Weir,Macmillan Publishers,2009-10-26,625.0,es,USA,1.57,4977,False,Refined
9781288765093,Educated,Tara Westover,Simon & Schuster,2009-11-14,492.0,zh,USA,3.42,3685,False,Refined
9783464975279,The Silent Patient,Alex Michaelides,Hachette Book Group,2009-08-27,543.5,fr,Germany,2.0,929,False,Refined
9783412365931,Man's Search for Meaning,Viktor Frankl,Simon & Schuster,2014-06-10,820.0,de,Australia,4.99,2339,False,Refined
9781526723719,Circe,Madeline Miller,Penguin Books,2005-11-02,276.0,de,UK,4.24,2618,False,Refined
9787623575561,Sapiens,Yuval Noah Harari,Simon & Schuster,2019-01-19,828.0,es,France,3.04,994,False,Refined
9788689593739,The Great Gatsby,F. Scott Fitzgerald,Penguin Books,2009-12-05,667.0,zh,France,2.87,4519,False,Refined
9786623360831,The Silent Patient,Alex Michaelides,Macmillan Publishers,2002-07-15,520.0,de,Brazil,1.3,2597,False,Refined
9782479679716,Man's Search for Meaning,Viktor Frankl,Hachette Book Group,1997-06-01,701.0,es,Canada,2.73,453,False,Refined
9781707196784,Brave New World,Aldous Huxley,Simon & Schuster,2016-01-01,454.0,zh,Germany,4.38,2052,False,Refined
9783291270703,1984,George Orwell,Hachette Book Group,1997-05-13,272.0,zh,Brazil,1.62,4957,False,Refined
9781121863227,Project Hail Mary,Andy Weir,Penguin Books,1997-05-05,889.0,zh,Germany,3.6,4686,False,Refined
9787638204740,The Alchemist,Paulo Coelho,Simon & Schuster,2004-06-14,350.0,de,Germany,2.81,490,False,Refined
9786171239466,Fahrenheit 451,Ray Bradbury,Hachette Book Group,2019-09-03,420.0,fr,France,4.9,1071,False,Refined
9782370592316,Where the Crawdads Sing,Delia Owens,Macmillan Publishers,2020-08-14,373.0,de,Australia,1.56,414,False,Refined
9782795875043,Foundation,Isaac Asimov,HarperCollins,2011-06-06,691.0,fr,Australia,4.05,4081,False,Refined
9783136189070,Brave New World,Aldous Huxley,Penguin Books,2008-06-23,543.5,de,Australia,1.86,2890,False,Refined
9787316122432,Foundation,Isaac Asimov,Hachette Book Group,2025-10-01,967.0,en,China,1.54,2166,False,Refined
9785489281916,The Catcher in the Rye,J.D. Salinger,Penguin Books,2000-07-14,675.0,es,France,3.21,602,False,Refined
9781510289448,Sapiens,Yuval Noah Harari,Penguin Books,2008-06-12,482.0,fr,Pakistan,4.76,1181,False,Refined
9781172893522,Man's Search for Meaning,Viktor Frankl,Penguin Books,2019-12-20,830.0,fr,India,3.08,1220,False,Refined
9782368076065,To Kill a Mockingbird,Harper Lee,Macmillan Publishers,1998-06-18,857.0,fr,Brazil,2.35,4175,False,Refined
9785366422491,Brave New World,Aldous Huxley,Simon & Schuster,2021-03-14,526.0,zh,Germany,4.19,218,False,Refined
9783480920839,Dune,Frank Herbert,Penguin Books,1999-12-10,591.0,es,Pakistan,3.52,3114,False,Refined
9784008714405,Project Hail Mary,Andy Weir,HarperCollins,2025-04-07,551.0,fr,China,1.61,1670,False,Refined
9789857430687,The Alchemist,Paulo Coelho,HarperCollins,2002-11-06,312.0,zh,France,4.99,3918,True,Refined
9787584730597,Becoming,Michelle Obama,Hachette Book Group,2010-03-23,792.0,fr,Brazil,2.94,2019,False,Refined
9788607135564,Brave New World,Aldous Huxley,HarperCollins,2004-03-07,424.0,de,France,3.24,2240,False,Refined
9789504724761,Sapiens,Yuval Noah Harari,Simon & Schuster,2019-07-19,397.0,en,Germany,4.82,647,False,Refined
9788504761698,1984,George Orwell,HarperCollins,2017-01-19,947.0,zh,Germany,4.73,2225,False,Refined
9782027708670,Dune,Frank Herbert,Penguin Books,2002-04-18,331.0,es,USA,1.4,2705,False,Refined
9784990452762,Educated,Tara Westover,Macmillan Publishers,1996-10-30,999.0,de,India,3.6,2353,False,Refined
9784957687327,The Silent Patient,Alex Michaelides,Independent,2018-03-25,137.0,de,India,1.75,2371,False,Refined
9783588933132,Dune,Frank Herbert,Simon & Schuster,2013-05-08,565.0,zh,Pakistan,2.98,1099,False,Refined
9784473829163,Circe,Madeline Miller,Simon & Schuster,2018-10-29,848.0,de,Germany,3.87,115,False,Refined
9781829621429,Dune,Frank Herbert,Hachette Book Group,1997-06-19,515.0,de,Pakistan,2.31,3283,False,Refined
9787345617046,Educated,Tara Westover,HarperCollins,2025-10-23,367.0,de,Australia,2.79,2187,False,Refined
9785344083406,Dune,Frank Herbert,Simon & Schuster,2015-07-08,163.0,en,India,2.23,3321,False,Refined
9783964774623,Brave New World,Aldous Huxley,Simon & Schuster,2009-08-18,729.0,es,Australia,4.83,3917,True,Refined
9786899673770,Foundation,Isaac Asimov,Hachette Book Group,2004-12-29,875.0,zh,Australia,4.05,4880,False,Refined
9782553854176,Fahrenheit 451,Ray Bradbury,Hachette Book Group,2021-01-30,163.0,zh,Pakistan,1.81,4396,False,Refined
9782897690739,Man's Search for Meaning,Viktor Frankl,HarperCollins,1999-12-16,600.0,en,Pakistan,2.78,455,False,Refined
9783421980125,Fahrenheit 451,Ray Bradbury,Hachette Book Group,2005-05-17,788.0,fr,USA,2.58,24,False,Refined
9787114733717,Project Hail Mary,Andy Weir,Penguin Books,2001-11-03,161.0,en,India,1.13,3349,False,Refined
9789123215994,The Hobbit,J.R.R. Tolkien,Macmillan Publishers,2009-03-08,484.0,en,Pakistan,1.53,2848,False,Refined
9783271361431,Pride and Prejudice,Jane Austen,HarperCollins,2025-12-17,874.0,en,Germany,2.85,4460,False,Refined
9786358023411,The Great Gatsby,F. Scott Fitzgerald,Simon & Schuster,2019-02-27,382.0,es,UK,1.13,3434,False,Refined
9782033653860,The Midnight Library,Matt Haig,Independent,2021-08-03,708.0,en,India,3.39,398,False,Refined
9781242425303,Fahrenheit 451,Ray Bradbury,Hachette Book Group,2013-02-20,339.0,zh,France,3.31,2626,False,Refined
9786244338653,Man's Search for Meaning,Viktor Frankl,Simon & Schuster,2013-10-09,162.0,zh,Brazil,4.52,1434,False,Refined
9787547518979,The Alchemist,Paulo Coelho,Macmillan Publishers,2007-10-21,252.0,fr,China,1.74,4406,False,Refined
9789837427517,Brave New World,Aldous Huxley,Macmillan Publishers,2007-06-07,670.0,zh,Canada,2.55,2088,False,Refined
9788933377472,Fahrenheit 451,Ray Bradbury,Penguin Books,2002-02-02,841.0,es,USA,2.07,4955,False,Refined
9786227046160,Circe,Madeline Miller,HarperCollins,2011-03-07,410.0,en,Australia,4.75,961,False,Refined
9784022663059,The Great Gatsby,F. Scott Fitzgerald,Macmillan Publishers,2015-05-19,665.0,fr,Germany,2.52,4371,False,Refined
9787430757004,The Catcher in the Rye,J.D. Salinger,Penguin Books,2005-01-20,543.5,fr,Australia,2.48,3390,False,Refined
9785364631241,Educated,Tara Westover,Hachette Book Group,1999-12-02,693.0,de,Germany,1.61,2702,False,Refined
9788236361108,The Great Gatsby,F. Scott Fitzgerald,Simon & Schuster,2004-03-13,840.0,de,India,1.67,2885,False,Refined
9785111301175,The Alchemist,Paulo Coelho,Hachette Book Group,2024-08-06,959.0,en,USA,4.06,3378,False,Refined
9784037270171,The Silent Patient,Alex Michaelides,Independent,2016-04-21,617.0,de,France,1.24,3958,False,Refined
9787664258343,Sapiens,Yuval Noah Harari,Penguin Books,2025-05-13,642.0,fr,Pakistan,4.91,140,False,Refined
9784907446848,The Hobbit,J.R.R. Tolkien,Penguin Books,2021-10-17,636.0,es,Australia,1.77,4312,False,Refined
9785634352383,Pride and Prejudice,Jane Austen,Macmillan Publishers,2005-07-11,678.0,es,Australia,2.2,660,False,Refined
9785696548897,Project Hail Mary,Andy Weir,Macmillan Publishers,2009-03-13,665.0,de,USA,3.55,1403,False,Refined
9781182758417,To Kill a Mockingbird,Harper Lee,HarperCollins,2000-09-09,586.0,fr,USA,4.7,2296,False,Refined
9788947526020,Project Hail Mary,Andy Weir,Penguin Books,2016-10-27,701.0,es,China,4.72,2451,False,Refined
9787616665277,Pride and Prejudice,Jane Austen,Macmillan Publishers,2019-11-03,909.0,en,Pakistan,3.98,2833,False,Refined
9788617360361,The Silent Patient,Alex Michaelides,Penguin Books,1997-09-02,379.0,de,India,1.91,4530,False,Refined
9788132531532,Dune,Frank Herbert,Penguin Books,1998-05-14,402.0,es,UK,1.33,1263,False,Refined
9788471762590,Educated,Tara Westover,Simon & Schuster,2009-12-08,209.0,en,USA,4.77,3643,True,Refined
9781374938761,Educated,Tara Westover,Macmillan Publishers,2005-12-25,670.0,zh,Pakistan,2.63,215,False,Refined
9782654584280,Foundation,Isaac Asimov,Simon & Schuster,2007-07-22,497.0,en,Pakistan,4.62,1988,False,Refined
9781728004476,Pride and Prejudice,Jane Austen,Simon & Schuster,2012-08-10,374.0,de,Canada,1.25,3560,False,Refined
9786845987005,The Silent Patient,Alex Michaelides,Independent,1998-01-29,607.0,zh,Brazil,1.78,876,False,Refined
9787958672456,Pride and Prejudice,Jane Austen,Simon & Schuster,2006-05-15,442.0,de,Brazil,1.54,2626,False,Refined
9782349406919,The Alchemist,Paulo Coelho,Macmillan Publishers,2011-10-20,398.0,de,Brazil,4.13,2669,False,Refined
9782567729816,Pride and Prejudice,Jane Austen,Hachette Book Group,2017-02-25,543.5,zh,Canada,3.73,4506,False,Refined
9783975704877,Circe,Madeline Miller,Macmillan Publishers,2003-09-20,242.0,fr,Australia,2.01,1262,False,Refined
9787863073642,The Silent Patient,Alex Michaelides,Hachette Book Group,2008-02-20,647.0,zh,China,3.17,2945,False,Refined
9781364994639,Foundation,Isaac Asimov,HarperCollins,1996-08-13,780.0,fr,Canada,3.59,362,False,Refined
9788714753670,Pride and Prejudice,Jane Austen,Penguin Books,2025-08-23,200.0,fr,Australia,3.04,4249,False,Refined
9787209571615,The Great Gatsby,F. Scott Fitzgerald,Macmillan Publishers,2005-05-06,890.0,zh,Pakistan,1.6,201,False,Refined
9785903457537,The Silent Patient,Alex Michaelides,Simon & Schuster,2010-09-23,566.0,es,Pakistan,2.93,3900,False,Refined
9782369705770,Fahrenheit 451,Ray Bradbury,Simon & Schuster,2024-02-10,929.0,en,USA,4.4,895,False,Refined
